X,Y,OBJECTID,advisorySpeed,animals,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashDistance,crashFinancialYear,crashLocation1,crashLocation2,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,easting,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersectionMidblock,junctionType,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,northing,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,outdatedLocationDescription,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadCurvature,roadLane,roadMarkings,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1747701,5430590,102202,0,0,574701,0,0,0,1,0,North,20,2008,CHURCHILL DRIVE,BLACKBRIDGE ROAD,Non-Injury Crash,No,2008,0,North,0,1747701,0,0,Hill Road,0,0,0,Intersection,T Junction,0,Overcast,2105100,0,0,0,5430590,2,0,0,0,Current location,0,0,0,0,0,Wellington Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,47,Wellington City,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1936489,5621962,102203,0,0,546802,0,0,0,1,0,Null,0,2008,HARVEY ROAD,SEALY ROAD,Non-Injury Crash,No,2007,0,North,0,1936489,0,0,Flat,0,0,0,Intersection,T Junction,0,Dark,1422900,0,0,0,5621962,2,0,0,0,Current location,0,1,0,0,0,Hawke's Bay Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,On,1,0,0,31,Napier City,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1525275,5410853,102204,0,0,584407,0,0,0,0,0,North,2700,2007,KARAMEA HIGHWAY,GLASSEYE CRK BR,Serious Crash,No,2007,0,North,0,1525275,0,0,Hill Road,1,0,0,Midblock,Nil (Default),0,Bright sun,2384000,0,0,1,5410853,2,0,0,0,Current location,0,0,0,0,0,West Coast Region,Nil,Curved,2-way,0,Sealed,0,0,1,0,100,0,Null,0,0,0,55,Buller District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1744254,5427727,102205,0,0,574900,1,0,0,1,0,Null,0,2011,ALLINGTON ROAD,MAKARA ROAD,Fatal Crash,No,2011,0,East,0,1744254,1,0,Flat,0,0,0,Intersection,T Junction,0,Dark,2110200,1,0,0,5427727,2,0,0,0,Current location,0,0,0,0,0,Wellington Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,On,0,0,0,47,Wellington City,Give way,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1748073,5431486,102206,0,0,574402,0,0,0,1,0,Null,0,2009,WAIKOWHAI ST,CHURCHILL DRIVE,Serious Crash,No,2009,0,North,0,1748073,0,0,Flat,0,0,0,Intersection,Driveway,0,Dark,2097800,0,1,0,5431486,2,0,0,0,Current location,0,0,0,0,0,Wellington Region,Nil,Curved,2-way,0,Sealed,0,0,1,0,50,0,On,0,0,0,47,Wellington City,Give way,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1566659,5184777,102207,0,0,588700,0,0,0,2,0,West,50,2003,Z CPK BISHOPDALE,FARRINGTON AVENUE,Non-Injury Crash,No,2003,0,West,0,1566659,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Overcast,2523100,0,0,0,5184777,0,0,0,0,Current location,0,1,0,0,0,Canterbury Region,Nil,Straight,Off road,0,Sealed,0,0,0,0,30,0,Null,0,0,0,60,Christchurch City,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1755496,5920607,102208,0,0,515302,0,0,0,2,0,South,40,2003,PONSONBY ROAD,JERVOIS ROAD,Non-Injury Crash,No,2002,0,South,0,1755496,0,0,Flat,0,0,0,Intersection,Nil (Default),0,Dark,429500,0,0,0,5920607,2,0,0,0,Current location,0,1,0,0,0,Auckland Region,Nil,Straight,1-way,0,Sealed,0,0,0,0,50,0,On,0,0,0,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1561612,5178550,102209,0,0,587500,0,0,0,1,0,Null,0,2002,SHANDS ROAD,AMYES ROAD,Minor Crash,No,2001,0,West,0,1561612,0,0,Flat,0,0,0,Intersection,Crossroads,0,Dark,2489600,1,0,0,5178550,2,0,0,0,Current location,0,0,1,0,0,Canterbury Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,On,0,0,0,60,Christchurch City,Traffic Signals,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1768189,5902430,102210,0,0,524602,0,0,0,2,0,Null,0,2013,GREAT SOUTH ROAD,BROWNS ROAD,Non-Injury Crash,No,2012,0,East,0,1768189,0,0,Hill Road,0,0,0,Intersection,Crossroads,0,Dark,780700,0,0,0,5902430,2,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,On,0,0,0,76,Auckland,Traffic Signals,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1687974,5634333,102211,0,0,553302,0,0,0,2,0,Null,0,2012,ELTHAM ROAD,OEO ROAD,Non-Injury Crash,No,2011,0,West,0,1687974,0,1,Flat,0,0,0,Intersection,Crossroads,0,Overcast,1630900,0,0,0,5634333,2,0,0,0,Current location,0,0,0,0,1,Taranaki Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,100,0,Null,0,0,0,35,South Taranaki District,Stop,0,0,0,0,0,0,Open,0,0,0,Fine,Null
